index,image_path,question,answer,type,A,B,C,D,E,F,G,H
0,data/4_comp/oa_os_nc_left_center_single_right_center_single_RAVEN_9961_train.png,holder,D,0,A,B,C,D,E,F,G,H
1,data/4_comp/oa_os_nc_distribute_nine_RAVEN_9972_train.png,holder,C,0,A,B,C,D,E,F,G,H
2,data/4_comp/oa_os_nc_left_center_single_right_center_single_RAVEN_9999_test.png,holder,B,0,A,B,C,D,E,F,G,H
3,data/4_comp/oa_os_nc_in_distribute_four_out_center_single_RAVEN_9960_train.png,holder,C,0,A,B,C,D,E,F,G,H
4,data/4_comp/oa_os_nc_distribute_four_RAVEN_9943_train.png,holder,H,0,A,B,C,D,E,F,G,H
5,data/4_comp/oa_os_nc_up_center_single_down_center_single_RAVEN_9997_val.png,holder,C,0,A,B,C,D,E,F,G,H
6,data/4_comp/oa_os_nc_center_single_RAVEN_9978_test.png,holder,F,0,A,B,C,D,E,F,G,H
7,data/4_comp/oa_os_nc_in_center_single_out_center_single_RAVEN_9958_test.png,holder,D,0,A,B,C,D,E,F,G,H
8,data/4_comp/oa_os_nc_in_center_single_out_center_single_RAVEN_9959_test.png,holder,E,0,A,B,C,D,E,F,G,H
9,data/4_comp/oa_os_nc_up_center_single_down_center_single_RAVEN_9962_train.png,holder,A,0,A,B,C,D,E,F,G,H
10,data/4_comp/oa_os_nc_in_distribute_four_out_center_single_RAVEN_9968_test.png,holder,G,0,A,B,C,D,E,F,G,H
11,data/4_comp/oa_os_nc_distribute_nine_RAVEN_9994_train.png,holder,C,0,A,B,C,D,E,F,G,H
12,data/4_comp/oa_os_nc_distribute_four_RAVEN_9947_val.png,holder,E,0,A,B,C,D,E,F,G,H
13,data/4_comp/oa_os_nc_center_single_RAVEN_9966_val.png,holder,B,0,A,B,C,D,E,F,G,H
