index,image_path,answer
0,Datasets/3_comp/output_data/center_single/RAVEN_9876_val.png,D
1,Datasets/3_comp/output_data/center_single/RAVEN_9887_val.png,C
2,Datasets/3_comp/output_data/distribute_four/RAVEN_9894_train.png,G
3,Datasets/3_comp/output_data/distribute_four/RAVEN_9897_val.png,E
4,Datasets/3_comp/output_data/distribute_nine/RAVEN_9974_train.png,G
5,Datasets/3_comp/output_data/distribute_nine/RAVEN_9971_train.png,E
6,Datasets/3_comp/output_data/in_center_single_out_center_single/RAVEN_9955_train.png,C
7,Datasets/3_comp/output_data/in_center_single_out_center_single/RAVEN_9967_val.png,F
8,Datasets/3_comp/output_data/in_distribute_four_out_center_single/RAVEN_9999_test.png,F
9,Datasets/3_comp/output_data/in_distribute_four_out_center_single/RAVEN_9998_test.png,C
10,Datasets/3_comp/output_data/left_center_single_right_center_single/RAVEN_9924_train.png,C
11,Datasets/3_comp/output_data/left_center_single_right_center_single/RAVEN_9928_test.png,H
12,Datasets/3_comp/output_data/up_center_single_down_center_single/RAVEN_9967_val.png,H
13,Datasets/3_comp/output_data/up_center_single_down_center_single/RAVEN_9973_train.png,E
