index,image_path,answer
0,Datasets/3_comp/output_data/center_single/RAVEN_9955_train.png,D
1,Datasets/3_comp/output_data/center_single/RAVEN_9951_train.png,B
2,Datasets/3_comp/output_data/distribute_four/RAVEN_9930_train.png,B
3,Datasets/3_comp/output_data/distribute_four/RAVEN_9999_test.png,G
4,Datasets/3_comp/output_data/distribute_nine/RAVEN_9955_train.png,B
5,Datasets/3_comp/output_data/distribute_nine/RAVEN_9953_train.png,D
6,Datasets/3_comp/output_data/in_center_single_out_center_single/RAVEN_9999_test.png,A
7,Datasets/3_comp/output_data/in_center_single_out_center_single/RAVEN_9997_val.png,D
8,Datasets/3_comp/output_data/in_distribute_four_out_center_single/RAVEN_9977_val.png,G
9,Datasets/3_comp/output_data/in_distribute_four_out_center_single/RAVEN_9992_train.png,D
10,Datasets/3_comp/output_data/left_center_single_right_center_single/RAVEN_9995_train.png,E
11,Datasets/3_comp/output_data/left_center_single_right_center_single/RAVEN_9992_train.png,C
12,Datasets/3_comp/output_data/up_center_single_down_center_single/RAVEN_9999_test.png,C
13,Datasets/3_comp/output_data/up_center_single_down_center_single/RAVEN_9992_train.png,H
