index,image_path,answer
0,Datasets/3_comp/output_data/oa_os_nc_left_center_single_right_center_single_RAVEN_9928_test.png,H
1,Datasets/3_comp/output_data/oa_os_nc_distribute_nine_RAVEN_9974_train.png,G
2,Datasets/3_comp/output_data/oa_os_nc_in_distribute_four_out_center_single_RAVEN_9998_test.png,C
3,Datasets/3_comp/output_data/oa_os_nc_in_distribute_four_out_center_single_RAVEN_9999_test.png,F
4,Datasets/3_comp/output_data/oa_os_nc_center_single_RAVEN_9887_val.png,C
5,Datasets/3_comp/output_data/oa_os_nc_up_center_single_down_center_single_RAVEN_9973_train.png,E
6,Datasets/3_comp/output_data/oa_os_nc_left_center_single_right_center_single_RAVEN_9924_train.png,C
7,Datasets/3_comp/output_data/oa_os_nc_distribute_four_RAVEN_9894_train.png,G
8,Datasets/3_comp/output_data/oa_os_nc_up_center_single_down_center_single_RAVEN_9967_val.png,H
9,Datasets/3_comp/output_data/oa_os_nc_in_center_single_out_center_single_RAVEN_9955_train.png,C
10,Datasets/3_comp/output_data/oa_os_nc_center_single_RAVEN_9876_val.png,D
11,Datasets/3_comp/output_data/oa_os_nc_distribute_four_RAVEN_9897_val.png,E
12,Datasets/3_comp/output_data/oa_os_nc_in_center_single_out_center_single_RAVEN_9967_val.png,F
13,Datasets/3_comp/output_data/oa_os_nc_distribute_nine_RAVEN_9971_train.png,E
