index,image_path,question,answer,type,A,B,C,D,E,F,G,H
0,data/4_comp/oa_ns_oc_distribute_nine_RAVEN_9938_test.png,holder,G,0,A,B,C,D,E,F,G,H
1,data/4_comp/oa_ns_oc_in_distribute_four_out_center_single_RAVEN_9861_train.png,holder,G,0,A,B,C,D,E,F,G,H
2,data/4_comp/oa_ns_oc_distribute_four_RAVEN_9924_train.png,holder,G,0,A,B,C,D,E,F,G,H
3,data/4_comp/oa_ns_oc_distribute_four_RAVEN_9930_train.png,holder,B,0,A,B,C,D,E,F,G,H
4,data/4_comp/oa_ns_oc_center_single_RAVEN_9942_train.png,holder,A,0,A,B,C,D,E,F,G,H
5,data/4_comp/oa_ns_oc_in_distribute_four_out_center_single_RAVEN_9856_val.png,holder,H,0,A,B,C,D,E,F,G,H
6,data/4_comp/oa_ns_oc_center_single_RAVEN_9939_test.png,holder,D,0,A,B,C,D,E,F,G,H
7,data/4_comp/oa_ns_oc_in_center_single_out_center_single_RAVEN_9910_train.png,holder,E,0,A,B,C,D,E,F,G,H
8,data/4_comp/oa_ns_oc_up_center_single_down_center_single_RAVEN_9957_val.png,holder,C,0,A,B,C,D,E,F,G,H
9,data/4_comp/oa_ns_oc_up_center_single_down_center_single_RAVEN_9959_test.png,holder,H,0,A,B,C,D,E,F,G,H
10,data/4_comp/oa_ns_oc_in_center_single_out_center_single_RAVEN_9952_train.png,holder,G,0,A,B,C,D,E,F,G,H
11,data/4_comp/oa_ns_oc_left_center_single_right_center_single_RAVEN_9958_test.png,holder,H,0,A,B,C,D,E,F,G,H
12,data/4_comp/oa_ns_oc_distribute_nine_RAVEN_9940_train.png,holder,G,0,A,B,C,D,E,F,G,H
13,data/4_comp/oa_ns_oc_left_center_single_right_center_single_RAVEN_9964_train.png,holder,A,0,A,B,C,D,E,F,G,H
