index,image_path,answer
0,Datasets/3_comp/output_data/center_single/RAVEN_9896_val.png,D
1,Datasets/3_comp/output_data/center_single/RAVEN_9918_test.png,D
2,Datasets/3_comp/output_data/distribute_four/RAVEN_9716_val.png,G
3,Datasets/3_comp/output_data/distribute_four/RAVEN_9722_train.png,D
4,Datasets/3_comp/output_data/distribute_nine/RAVEN_9911_train.png,G
5,Datasets/3_comp/output_data/distribute_nine/RAVEN_9936_val.png,E
6,Datasets/3_comp/output_data/in_center_single_out_center_single/RAVEN_9906_val.png,E
7,Datasets/3_comp/output_data/in_center_single_out_center_single/RAVEN_9872_train.png,H
8,Datasets/3_comp/output_data/in_distribute_four_out_center_single/RAVEN_9811_train.png,H
9,Datasets/3_comp/output_data/in_distribute_four_out_center_single/RAVEN_9805_train.png,A
10,Datasets/3_comp/output_data/left_center_single_right_center_single/RAVEN_9752_train.png,H
11,Datasets/3_comp/output_data/left_center_single_right_center_single/RAVEN_9755_train.png,C
12,Datasets/3_comp/output_data/up_center_single_down_center_single/RAVEN_9885_train.png,D
13,Datasets/3_comp/output_data/up_center_single_down_center_single/RAVEN_9909_test.png,E
