index,image_path,answer
0,Datasets/3_comp/output_data/center_single/RAVEN_9991_train.png,E
1,Datasets/3_comp/output_data/center_single/RAVEN_9992_train.png,C
2,Datasets/3_comp/output_data/distribute_four/RAVEN_9991_train.png,A
3,Datasets/3_comp/output_data/distribute_four/RAVEN_9992_train.png,E
4,Datasets/3_comp/output_data/distribute_nine/RAVEN_9991_train.png,F
5,Datasets/3_comp/output_data/distribute_nine/RAVEN_9994_train.png,C
6,Datasets/3_comp/output_data/in_center_single_out_center_single/RAVEN_9966_val.png,H
7,Datasets/3_comp/output_data/in_center_single_out_center_single/RAVEN_9968_test.png,F
8,Datasets/3_comp/output_data/in_distribute_four_out_center_single/RAVEN_9945_train.png,E
9,Datasets/3_comp/output_data/in_distribute_four_out_center_single/RAVEN_9997_val.png,C
10,Datasets/3_comp/output_data/left_center_single_right_center_single/RAVEN_9992_train.png,C
11,Datasets/3_comp/output_data/left_center_single_right_center_single/RAVEN_9997_val.png,E
12,Datasets/3_comp/output_data/up_center_single_down_center_single/RAVEN_9966_val.png,F
13,Datasets/3_comp/output_data/up_center_single_down_center_single/RAVEN_9968_test.png,F
