index,image_path,question,answer,type,A,B,C,D,E,F,G,H
0,Dataset/3_comp/output_data/oa_os_oc_center_single_RAVEN_9918_test.png,holder,D,0,A,B,C,D,E,F,G,H
1,Dataset/3_comp/output_data/oa_os_oc_distribute_four_RAVEN_9722_train.png,holder,D,0,A,B,C,D,E,F,G,H
2,Dataset/3_comp/output_data/oa_os_oc_left_center_single_right_center_single_RAVEN_9755_train.png,holder,C,0,A,B,C,D,E,F,G,H
3,Dataset/3_comp/output_data/oa_os_oc_distribute_nine_RAVEN_9911_train.png,holder,G,0,A,B,C,D,E,F,G,H
4,Dataset/3_comp/output_data/oa_os_oc_center_single_RAVEN_9896_val.png,holder,D,0,A,B,C,D,E,F,G,H
5,Dataset/3_comp/output_data/oa_os_oc_left_center_single_right_center_single_RAVEN_9752_train.png,holder,H,0,A,B,C,D,E,F,G,H
6,Dataset/3_comp/output_data/oa_os_oc_distribute_four_RAVEN_9716_val.png,holder,G,0,A,B,C,D,E,F,G,H
7,Dataset/3_comp/output_data/oa_os_oc_in_center_single_out_center_single_RAVEN_9872_train.png,holder,H,0,A,B,C,D,E,F,G,H
8,Dataset/3_comp/output_data/oa_os_oc_up_center_single_down_center_single_RAVEN_9909_test.png,holder,E,0,A,B,C,D,E,F,G,H
9,Dataset/3_comp/output_data/oa_os_oc_distribute_nine_RAVEN_9936_val.png,holder,E,0,A,B,C,D,E,F,G,H
10,Dataset/3_comp/output_data/oa_os_oc_up_center_single_down_center_single_RAVEN_9885_train.png,holder,D,0,A,B,C,D,E,F,G,H
11,Dataset/3_comp/output_data/oa_os_oc_in_distribute_four_out_center_single_RAVEN_9811_train.png,holder,H,0,A,B,C,D,E,F,G,H
12,Dataset/3_comp/output_data/oa_os_oc_in_distribute_four_out_center_single_RAVEN_9805_train.png,holder,A,0,A,B,C,D,E,F,G,H
13,Dataset/3_comp/output_data/oa_os_oc_in_center_single_out_center_single_RAVEN_9906_val.png,holder,E,0,A,B,C,D,E,F,G,H
