index,image_path,answer
0,Datasets/3_comp/output_data/na_os_nc_left_center_single_right_center_single_RAVEN_9995_train.png,E
1,Datasets/3_comp/output_data/na_os_nc_distribute_four_RAVEN_9999_test.png,G
2,Datasets/3_comp/output_data/na_os_nc_up_center_single_down_center_single_RAVEN_9992_train.png,H
3,Datasets/3_comp/output_data/na_os_nc_in_center_single_out_center_single_RAVEN_9999_test.png,A
4,Datasets/3_comp/output_data/na_os_nc_distribute_four_RAVEN_9930_train.png,B
5,Datasets/3_comp/output_data/na_os_nc_in_distribute_four_out_center_single_RAVEN_9977_val.png,G
6,Datasets/3_comp/output_data/na_os_nc_in_distribute_four_out_center_single_RAVEN_9992_train.png,D
7,Datasets/3_comp/output_data/na_os_nc_left_center_single_right_center_single_RAVEN_9992_train.png,C
8,Datasets/3_comp/output_data/na_os_nc_center_single_RAVEN_9951_train.png,B
9,Datasets/3_comp/output_data/na_os_nc_up_center_single_down_center_single_RAVEN_9999_test.png,C
10,Datasets/3_comp/output_data/na_os_nc_distribute_nine_RAVEN_9953_train.png,D
11,Datasets/3_comp/output_data/na_os_nc_in_center_single_out_center_single_RAVEN_9997_val.png,D
12,Datasets/3_comp/output_data/na_os_nc_distribute_nine_RAVEN_9955_train.png,B
13,Datasets/3_comp/output_data/na_os_nc_center_single_RAVEN_9955_train.png,D
