index,image_path,answer
0,Datasets/3_comp/output_data/oa_os_oc/center_single/RAVEN_9896_val.png,D
1,Datasets/3_comp/output_data/oa_os_oc/center_single/RAVEN_9918_test.png,D
2,Datasets/3_comp/output_data/oa_os_oc/distribute_four/RAVEN_9716_val.png,G
3,Datasets/3_comp/output_data/oa_os_oc/distribute_four/RAVEN_9722_train.png,D
4,Datasets/3_comp/output_data/oa_os_oc/distribute_nine/RAVEN_9911_train.png,G
5,Datasets/3_comp/output_data/oa_os_oc/distribute_nine/RAVEN_9936_val.png,E
6,Datasets/3_comp/output_data/oa_os_oc/in_center_single_out_center_single/RAVEN_9906_val.png,E
7,Datasets/3_comp/output_data/oa_os_oc/in_center_single_out_center_single/RAVEN_9872_train.png,H
8,Datasets/3_comp/output_data/oa_os_oc/in_distribute_four_out_center_single/RAVEN_9811_train.png,H
9,Datasets/3_comp/output_data/oa_os_oc/in_distribute_four_out_center_single/RAVEN_9805_train.png,A
10,Datasets/3_comp/output_data/oa_os_oc/left_center_single_right_center_single/RAVEN_9752_train.png,H
11,Datasets/3_comp/output_data/oa_os_oc/left_center_single_right_center_single/RAVEN_9755_train.png,C
12,Datasets/3_comp/output_data/oa_os_oc/up_center_single_down_center_single/RAVEN_9885_train.png,D
13,Datasets/3_comp/output_data/oa_os_oc/up_center_single_down_center_single/RAVEN_9909_test.png,E
14,Datasets/3_comp/output_data/oa_os_nc/center_single/RAVEN_9876_val.png,D
15,Datasets/3_comp/output_data/oa_os_nc/center_single/RAVEN_9887_val.png,C
16,Datasets/3_comp/output_data/oa_os_nc/distribute_four/RAVEN_9894_train.png,G
17,Datasets/3_comp/output_data/oa_os_nc/distribute_four/RAVEN_9897_val.png,E
18,Datasets/3_comp/output_data/oa_os_nc/distribute_nine/RAVEN_9974_train.png,G
19,Datasets/3_comp/output_data/oa_os_nc/distribute_nine/RAVEN_9971_train.png,E
20,Datasets/3_comp/output_data/oa_os_nc/in_center_single_out_center_single/RAVEN_9955_train.png,C
21,Datasets/3_comp/output_data/oa_os_nc/in_center_single_out_center_single/RAVEN_9967_val.png,F
22,Datasets/3_comp/output_data/oa_os_nc/in_distribute_four_out_center_single/RAVEN_9999_test.png,F
23,Datasets/3_comp/output_data/oa_os_nc/in_distribute_four_out_center_single/RAVEN_9998_test.png,C
24,Datasets/3_comp/output_data/oa_os_nc/left_center_single_right_center_single/RAVEN_9924_train.png,C
25,Datasets/3_comp/output_data/oa_os_nc/left_center_single_right_center_single/RAVEN_9928_test.png,H
26,Datasets/3_comp/output_data/oa_os_nc/up_center_single_down_center_single/RAVEN_9967_val.png,H
27,Datasets/3_comp/output_data/oa_os_nc/up_center_single_down_center_single/RAVEN_9973_train.png,E
28,Datasets/3_comp/output_data/oa_ns_oc/center_single/RAVEN_9983_train.png,B
29,Datasets/3_comp/output_data/oa_ns_oc/center_single/RAVEN_9982_train.png,G
30,Datasets/3_comp/output_data/oa_ns_oc/distribute_four/RAVEN_9991_train.png,A
31,Datasets/3_comp/output_data/oa_ns_oc/distribute_four/RAVEN_9997_val.png,B
32,Datasets/3_comp/output_data/oa_ns_oc/distribute_nine/RAVEN_9960_train.png,D
33,Datasets/3_comp/output_data/oa_ns_oc/distribute_nine/RAVEN_9961_train.png,A
34,Datasets/3_comp/output_data/oa_ns_oc/in_center_single_out_center_single/RAVEN_9966_val.png,H
35,Datasets/3_comp/output_data/oa_ns_oc/in_center_single_out_center_single/RAVEN_9968_test.png,F
36,Datasets/3_comp/output_data/oa_ns_oc/in_distribute_four_out_center_single/RAVEN_9991_train.png,B
37,Datasets/3_comp/output_data/oa_ns_oc/in_distribute_four_out_center_single/RAVEN_9999_test.png,F
38,Datasets/3_comp/output_data/oa_ns_oc/left_center_single_right_center_single/RAVEN_9960_train.png,G
39,Datasets/3_comp/output_data/oa_ns_oc/left_center_single_right_center_single/RAVEN_9954_train.png,F
40,Datasets/3_comp/output_data/oa_ns_oc/up_center_single_down_center_single/RAVEN_9923_train.png,B
41,Datasets/3_comp/output_data/oa_ns_oc/up_center_single_down_center_single/RAVEN_9916_val.png,A
42,Datasets/3_comp/output_data/oa_ns_nc/center_single/RAVEN_9864_train.png,B
43,Datasets/3_comp/output_data/oa_ns_nc/center_single/RAVEN_9889_test.png,A
44,Datasets/3_comp/output_data/oa_ns_nc/distribute_four/RAVEN_9839_test.png,B
45,Datasets/3_comp/output_data/oa_ns_nc/distribute_four/RAVEN_9840_train.png,B
46,Datasets/3_comp/output_data/oa_ns_nc/distribute_nine/RAVEN_9439_test.png,B
47,Datasets/3_comp/output_data/oa_ns_nc/distribute_nine/RAVEN_9479_test.png,B
48,Datasets/3_comp/output_data/oa_ns_nc/in_center_single_out_center_single/RAVEN_9930_train.png,G
49,Datasets/3_comp/output_data/oa_ns_nc/in_center_single_out_center_single/RAVEN_9928_test.png,C
50,Datasets/3_comp/output_data/oa_ns_nc/in_distribute_four_out_center_single/RAVEN_9976_val.png,F
51,Datasets/3_comp/output_data/oa_ns_nc/in_distribute_four_out_center_single/RAVEN_9972_train.png,D
52,Datasets/3_comp/output_data/oa_ns_nc/left_center_single_right_center_single/RAVEN_9872_train.png,B
53,Datasets/3_comp/output_data/oa_ns_nc/left_center_single_right_center_single/RAVEN_9874_train.png,F
54,Datasets/3_comp/output_data/oa_ns_nc/up_center_single_down_center_single/RAVEN_9818_test.png,C
55,Datasets/3_comp/output_data/oa_ns_nc/up_center_single_down_center_single/RAVEN_9822_train.png,H
56,Datasets/3_comp/output_data/na_os_oc/center_single/RAVEN_9883_train.png,C
57,Datasets/3_comp/output_data/na_os_oc/center_single/RAVEN_9874_train.png,G
58,Datasets/3_comp/output_data/na_os_oc/distribute_four/RAVEN_9770_train.png,F
59,Datasets/3_comp/output_data/na_os_oc/distribute_four/RAVEN_9758_test.png,F
60,Datasets/3_comp/output_data/na_os_oc/distribute_nine/RAVEN_9879_test.png,H
61,Datasets/3_comp/output_data/na_os_oc/distribute_nine/RAVEN_9873_train.png,B
62,Datasets/3_comp/output_data/na_os_oc/in_center_single_out_center_single/RAVEN_9991_train.png,C
63,Datasets/3_comp/output_data/na_os_oc/in_center_single_out_center_single/RAVEN_9918_test.png,F
64,Datasets/3_comp/output_data/na_os_oc/in_distribute_four_out_center_single/RAVEN_9489_test.png,E
65,Datasets/3_comp/output_data/na_os_oc/in_distribute_four_out_center_single/RAVEN_9491_train.png,C
66,Datasets/3_comp/output_data/na_os_oc/left_center_single_right_center_single/RAVEN_9979_test.png,E
67,Datasets/3_comp/output_data/na_os_oc/left_center_single_right_center_single/RAVEN_9970_train.png,G
68,Datasets/3_comp/output_data/na_os_oc/up_center_single_down_center_single/RAVEN_9999_test.png,C
69,Datasets/3_comp/output_data/na_os_oc/up_center_single_down_center_single/RAVEN_9997_val.png,C
70,Datasets/3_comp/output_data/na_os_nc/center_single/RAVEN_9955_train.png,D
71,Datasets/3_comp/output_data/na_os_nc/center_single/RAVEN_9951_train.png,B
72,Datasets/3_comp/output_data/na_os_nc/distribute_four/RAVEN_9930_train.png,B
73,Datasets/3_comp/output_data/na_os_nc/distribute_four/RAVEN_9999_test.png,G
74,Datasets/3_comp/output_data/na_os_nc/distribute_nine/RAVEN_9955_train.png,B
75,Datasets/3_comp/output_data/na_os_nc/distribute_nine/RAVEN_9953_train.png,D
76,Datasets/3_comp/output_data/na_os_nc/in_center_single_out_center_single/RAVEN_9999_test.png,A
77,Datasets/3_comp/output_data/na_os_nc/in_center_single_out_center_single/RAVEN_9997_val.png,D
78,Datasets/3_comp/output_data/na_os_nc/in_distribute_four_out_center_single/RAVEN_9977_val.png,G
79,Datasets/3_comp/output_data/na_os_nc/in_distribute_four_out_center_single/RAVEN_9992_train.png,D
80,Datasets/3_comp/output_data/na_os_nc/left_center_single_right_center_single/RAVEN_9995_train.png,E
81,Datasets/3_comp/output_data/na_os_nc/left_center_single_right_center_single/RAVEN_9992_train.png,C
82,Datasets/3_comp/output_data/na_os_nc/up_center_single_down_center_single/RAVEN_9999_test.png,C
83,Datasets/3_comp/output_data/na_os_nc/up_center_single_down_center_single/RAVEN_9992_train.png,H
84,Datasets/3_comp/output_data/na_ns_oc/center_single/RAVEN_3_train.png,F
85,Datasets/3_comp/output_data/na_ns_oc/center_single/RAVEN_12_train.png,B
86,Datasets/3_comp/output_data/na_ns_oc/distribute_four/RAVEN_68_test.png,F
87,Datasets/3_comp/output_data/na_ns_oc/distribute_four/RAVEN_63_train.png,G
88,Datasets/3_comp/output_data/na_ns_oc/distribute_nine/RAVEN_195_train.png,H
89,Datasets/3_comp/output_data/na_ns_oc/distribute_nine/RAVEN_204_train.png,B
90,Datasets/3_comp/output_data/na_ns_oc/in_center_single_out_center_single/RAVEN_372_train.png,H
91,Datasets/3_comp/output_data/na_ns_oc/in_center_single_out_center_single/RAVEN_388_test.png,F
92,Datasets/3_comp/output_data/na_ns_oc/in_distribute_four_out_center_single/RAVEN_499_test.png,D
93,Datasets/3_comp/output_data/na_ns_oc/in_distribute_four_out_center_single/RAVEN_503_train.png,H
94,Datasets/3_comp/output_data/na_ns_oc/left_center_single_right_center_single/RAVEN_89_test.png,H
95,Datasets/3_comp/output_data/na_ns_oc/left_center_single_right_center_single/RAVEN_80_train.png,D
96,Datasets/3_comp/output_data/na_ns_oc/up_center_single_down_center_single/RAVEN_256_val.png,E
97,Datasets/3_comp/output_data/na_ns_oc/up_center_single_down_center_single/RAVEN_259_test.png,C
98,Datasets/3_comp/output_data/na_ns_nc/center_single/RAVEN_9991_train.png,E
99,Datasets/3_comp/output_data/na_ns_nc/center_single/RAVEN_9992_train.png,C
100,Datasets/3_comp/output_data/na_ns_nc/distribute_four/RAVEN_9991_train.png,A
101,Datasets/3_comp/output_data/na_ns_nc/distribute_four/RAVEN_9992_train.png,E
102,Datasets/3_comp/output_data/na_ns_nc/distribute_nine/RAVEN_9991_train.png,F
103,Datasets/3_comp/output_data/na_ns_nc/distribute_nine/RAVEN_9994_train.png,C
104,Datasets/3_comp/output_data/na_ns_nc/in_center_single_out_center_single/RAVEN_9966_val.png,H
105,Datasets/3_comp/output_data/na_ns_nc/in_center_single_out_center_single/RAVEN_9968_test.png,F
106,Datasets/3_comp/output_data/na_ns_nc/in_distribute_four_out_center_single/RAVEN_9945_train.png,E
107,Datasets/3_comp/output_data/na_ns_nc/in_distribute_four_out_center_single/RAVEN_9997_val.png,C
108,Datasets/3_comp/output_data/na_ns_nc/left_center_single_right_center_single/RAVEN_9992_train.png,C
109,Datasets/3_comp/output_data/na_ns_nc/left_center_single_right_center_single/RAVEN_9997_val.png,E
110,Datasets/3_comp/output_data/na_ns_nc/up_center_single_down_center_single/RAVEN_9966_val.png,F
111,Datasets/3_comp/output_data/na_ns_nc/up_center_single_down_center_single/RAVEN_9968_test.png,F
