index,image_path,answer
0,Datasets/3_comp/output_data/na_os_oc_up_center_single_down_center_single_RAVEN_9999_test.png,C
1,Datasets/3_comp/output_data/na_os_oc_distribute_four_RAVEN_9770_train.png,F
2,Datasets/3_comp/output_data/na_os_oc_in_center_single_out_center_single_RAVEN_9991_train.png,C
3,Datasets/3_comp/output_data/na_os_oc_in_center_single_out_center_single_RAVEN_9918_test.png,F
4,Datasets/3_comp/output_data/na_os_oc_up_center_single_down_center_single_RAVEN_9997_val.png,C
5,Datasets/3_comp/output_data/na_os_oc_distribute_nine_RAVEN_9879_test.png,H
6,Datasets/3_comp/output_data/na_os_oc_in_distribute_four_out_center_single_RAVEN_9491_train.png,C
7,Datasets/3_comp/output_data/na_os_oc_distribute_nine_RAVEN_9873_train.png,B
8,Datasets/3_comp/output_data/na_os_oc_left_center_single_right_center_single_RAVEN_9970_train.png,G
9,Datasets/3_comp/output_data/na_os_oc_distribute_four_RAVEN_9758_test.png,F
10,Datasets/3_comp/output_data/na_os_oc_center_single_RAVEN_9883_train.png,C
11,Datasets/3_comp/output_data/na_os_oc_in_distribute_four_out_center_single_RAVEN_9489_test.png,E
12,Datasets/3_comp/output_data/na_os_oc_left_center_single_right_center_single_RAVEN_9979_test.png,E
13,Datasets/3_comp/output_data/na_os_oc_center_single_RAVEN_9874_train.png,G
