index,image_path,question,answer,type,A,B,C,D,E,F,G,H
0,data/4_comp/oa_ns_nc_center_single_RAVEN_9930_train.png,holder,H,0,A,B,C,D,E,F,G,H
1,data/4_comp/oa_ns_nc_in_center_single_out_center_single_RAVEN_9933_train.png,holder,D,0,A,B,C,D,E,F,G,H
2,data/4_comp/oa_ns_nc_distribute_nine_RAVEN_9933_train.png,holder,D,0,A,B,C,D,E,F,G,H
3,data/4_comp/oa_ns_nc_distribute_four_RAVEN_9742_train.png,holder,H,0,A,B,C,D,E,F,G,H
4,data/4_comp/oa_ns_nc_distribute_four_RAVEN_9763_train.png,holder,E,0,A,B,C,D,E,F,G,H
5,data/4_comp/oa_ns_nc_left_center_single_right_center_single_RAVEN_9977_val.png,holder,C,0,A,B,C,D,E,F,G,H
6,data/4_comp/oa_ns_nc_distribute_nine_RAVEN_9929_test.png,holder,E,0,A,B,C,D,E,F,G,H
7,data/4_comp/oa_ns_nc_center_single_RAVEN_9917_val.png,holder,B,0,A,B,C,D,E,F,G,H
8,data/4_comp/oa_ns_nc_in_center_single_out_center_single_RAVEN_9871_train.png,holder,D,0,A,B,C,D,E,F,G,H
9,data/4_comp/oa_ns_nc_up_center_single_down_center_single_RAVEN_9960_train.png,holder,B,0,A,B,C,D,E,F,G,H
10,data/4_comp/oa_ns_nc_left_center_single_right_center_single_RAVEN_9986_val.png,holder,A,0,A,B,C,D,E,F,G,H
11,data/4_comp/oa_ns_nc_in_distribute_four_out_center_single_RAVEN_9952_train.png,holder,B,0,A,B,C,D,E,F,G,H
12,data/4_comp/oa_ns_nc_in_distribute_four_out_center_single_RAVEN_9959_test.png,holder,D,0,A,B,C,D,E,F,G,H
13,data/4_comp/oa_ns_nc_up_center_single_down_center_single_RAVEN_9967_val.png,holder,H,0,A,B,C,D,E,F,G,H
