index,image_path,answer
0,Datasets/3_comp/output_data/center_single/RAVEN_9983_train.png,B
1,Datasets/3_comp/output_data/center_single/RAVEN_9982_train.png,G
2,Datasets/3_comp/output_data/distribute_four/RAVEN_9991_train.png,A
3,Datasets/3_comp/output_data/distribute_four/RAVEN_9997_val.png,B
4,Datasets/3_comp/output_data/distribute_nine/RAVEN_9960_train.png,D
5,Datasets/3_comp/output_data/distribute_nine/RAVEN_9961_train.png,A
6,Datasets/3_comp/output_data/in_center_single_out_center_single/RAVEN_9966_val.png,H
7,Datasets/3_comp/output_data/in_center_single_out_center_single/RAVEN_9968_test.png,F
8,Datasets/3_comp/output_data/in_distribute_four_out_center_single/RAVEN_9991_train.png,B
9,Datasets/3_comp/output_data/in_distribute_four_out_center_single/RAVEN_9999_test.png,F
10,Datasets/3_comp/output_data/left_center_single_right_center_single/RAVEN_9960_train.png,G
11,Datasets/3_comp/output_data/left_center_single_right_center_single/RAVEN_9954_train.png,F
12,Datasets/3_comp/output_data/up_center_single_down_center_single/RAVEN_9923_train.png,B
13,Datasets/3_comp/output_data/up_center_single_down_center_single/RAVEN_9916_val.png,A
