index,image_path,answer
0,Datasets/3_comp/output_data/center_single/RAVEN_9883_train.png,C
1,Datasets/3_comp/output_data/center_single/RAVEN_9874_train.png,G
2,Datasets/3_comp/output_data/distribute_four/RAVEN_9770_train.png,F
3,Datasets/3_comp/output_data/distribute_four/RAVEN_9758_test.png,F
4,Datasets/3_comp/output_data/distribute_nine/RAVEN_9879_test.png,H
5,Datasets/3_comp/output_data/distribute_nine/RAVEN_9873_train.png,B
6,Datasets/3_comp/output_data/in_center_single_out_center_single/RAVEN_9991_train.png,C
7,Datasets/3_comp/output_data/in_center_single_out_center_single/RAVEN_9918_test.png,F
8,Datasets/3_comp/output_data/in_distribute_four_out_center_single/RAVEN_9489_test.png,E
9,Datasets/3_comp/output_data/in_distribute_four_out_center_single/RAVEN_9491_train.png,C
10,Datasets/3_comp/output_data/left_center_single_right_center_single/RAVEN_9979_test.png,E
11,Datasets/3_comp/output_data/left_center_single_right_center_single/RAVEN_9970_train.png,G
12,Datasets/3_comp/output_data/up_center_single_down_center_single/RAVEN_9999_test.png,C
13,Datasets/3_comp/output_data/up_center_single_down_center_single/RAVEN_9997_val.png,C
