index,image_path,answer
0,Datasets/3_comp/output_data/center_single/RAVEN_9864_train.png,B
1,Datasets/3_comp/output_data/center_single/RAVEN_9889_test.png,A
2,Datasets/3_comp/output_data/distribute_four/RAVEN_9839_test.png,B
3,Datasets/3_comp/output_data/distribute_four/RAVEN_9840_train.png,B
4,Datasets/3_comp/output_data/distribute_nine/RAVEN_9439_test.png,B
5,Datasets/3_comp/output_data/distribute_nine/RAVEN_9479_test.png,B
6,Datasets/3_comp/output_data/in_center_single_out_center_single/RAVEN_9930_train.png,G
7,Datasets/3_comp/output_data/in_center_single_out_center_single/RAVEN_9928_test.png,C
8,Datasets/3_comp/output_data/in_distribute_four_out_center_single/RAVEN_9976_val.png,F
9,Datasets/3_comp/output_data/in_distribute_four_out_center_single/RAVEN_9972_train.png,D
10,Datasets/3_comp/output_data/left_center_single_right_center_single/RAVEN_9872_train.png,B
11,Datasets/3_comp/output_data/left_center_single_right_center_single/RAVEN_9874_train.png,F
12,Datasets/3_comp/output_data/up_center_single_down_center_single/RAVEN_9818_test.png,C
13,Datasets/3_comp/output_data/up_center_single_down_center_single/RAVEN_9822_train.png,H
