index,image_path,answer
0,Datasets/3_comp/output_data/center_single/RAVEN_3_train.png,F
1,Datasets/3_comp/output_data/center_single/RAVEN_12_train.png,B
2,Datasets/3_comp/output_data/distribute_four/RAVEN_68_test.png,F
3,Datasets/3_comp/output_data/distribute_four/RAVEN_63_train.png,G
4,Datasets/3_comp/output_data/distribute_nine/RAVEN_195_train.png,H
5,Datasets/3_comp/output_data/distribute_nine/RAVEN_204_train.png,B
6,Datasets/3_comp/output_data/in_center_single_out_center_single/RAVEN_372_train.png,H
7,Datasets/3_comp/output_data/in_center_single_out_center_single/RAVEN_388_test.png,F
8,Datasets/3_comp/output_data/in_distribute_four_out_center_single/RAVEN_499_test.png,D
9,Datasets/3_comp/output_data/in_distribute_four_out_center_single/RAVEN_503_train.png,H
10,Datasets/3_comp/output_data/left_center_single_right_center_single/RAVEN_89_test.png,H
11,Datasets/3_comp/output_data/left_center_single_right_center_single/RAVEN_80_train.png,D
12,Datasets/3_comp/output_data/up_center_single_down_center_single/RAVEN_256_val.png,E
13,Datasets/3_comp/output_data/up_center_single_down_center_single/RAVEN_259_test.png,C
